id,x,y,europe
1059,10,88,True
1060,10,89,True
1061,10,90,True
1062,10,91,True
1063,10,92,True
1064,10,93,True
1065,10,94,True
1066,10,95,True
1067,10,96,True
1068,11,0,True
1069,11,1,True
1070,11,2,True
1071,11,3,True
1072,11,4,True
1073,11,5,True
1074,11,6,True
1075,11,7,True
1076,11,8,True
1077,11,9,True
1078,11,10,True
1079,11,11,True
1080,11,12,True
1081,11,13,True
1082,11,14,True
1083,11,15,True
1084,11,16,True
1085,11,17,True
1086,11,18,True
1087,11,19,True
1088,11,20,True
1089,11,21,True
1090,11,22,True
1091,11,23,True
1092,11,24,True
1093,11,25,True
1094,11,26,True
1095,11,27,True
1096,11,28,True
1097,11,29,True
1098,11,30,True
1099,11,31,True
1100,11,32,True
1101,11,33,True
1102,11,34,True
1103,11,35,True
1104,11,36,True
1105,11,37,True
1106,11,38,True
1107,11,39,True
1108,11,40,True
1109,11,41,True
1110,11,42,True
1111,11,43,True
1112,11,44,True
1113,11,45,True
1114,11,46,True
1115,11,47,True
1116,11,48,True
1117,11,49,True
1118,11,50,True
1119,11,51,True
1120,11,52,True
1121,11,53,True
1122,11,54,True
1123,11,55,True
1124,11,56,True
1125,11,57,True
1126,11,58,True
1127,11,59,True
1128,11,60,True
1129,11,61,True
1130,11,62,True
1131,11,63,True
1132,11,64,True
1133,11,65,True
1134,11,66,True
1135,11,67,True
1136,11,68,True
1137,11,69,True
1138,11,70,True
1139,11,71,True
1140,11,72,True
1141,11,73,True
1142,11,74,True
1143,11,75,True
1144,11,76,True
1145,11,77,True
1146,11,78,True
1147,11,79,True
1148,11,80,True
1149,11,81,True
1150,11,82,True
1151,11,83,True
1152,11,84,True
1153,11,85,True
1154,11,86,True
1155,11,87,True
1156,11,88,True
1157,11,89,True
1158,11,90,True
1159,11,91,True
1160,11,92,True
1161,11,93,True
1162,11,94,True
1163,11,95,True
1164,11,96,True
1165,12,0,True
1166,12,1,True
1167,12,2,True
1168,12,3,True
1169,12,4,True
1170,12,5,True
1171,12,6,True
1172,12,7,True
1173,12,8,True
1174,12,9,True
1175,12,10,True
1176,12,11,True
1177,12,12,True
1178,12,13,True
1179,12,14,True
1180,12,15,True
1181,12,16,True
1182,12,17,True
1183,12,18,True
1184,12,19,True
1185,12,20,True
1186,12,21,True
1187,12,22,True
1188,12,23,True
1189,12,24,True
1190,12,25,True
1191,12,26,True
1192,12,27,True
1193,12,28,True
1194,12,29,True
1195,12,30,True
1196,12,31,True
1197,12,32,True
1198,12,33,True
1199,12,34,True
1200,12,35,True
1201,12,36,True
1202,12,37,True
1203,12,38,True
1204,12,39,True
1205,12,40,True
1206,12,41,True
1207,12,42,True
1208,12,43,True
1209,12,44,True
1210,12,45,True
1211,12,46,True
1212,12,47,True
1213,12,48,True
1214,12,49,True
1215,12,50,True
1216,12,51,True
1217,12,52,True
1218,12,53,True
1219,12,54,True
1220,12,55,True
1221,12,56,True
1222,12,57,True
1223,12,58,True
1224,12,59,True
1225,12,60,True
1226,12,61,True
1227,12,62,True
1228,12,63,True
1229,12,64,True
1230,12,65,True
1231,12,66,True
1232,12,67,True
1233,12,68,True
1234,12,69,True
1235,12,70,True
1236,12,71,True
1237,12,72,True
1238,12,73,True
1239,12,74,True
1240,12,75,True
1241,12,76,True
1242,12,77,True
